"sep=,"
ID,ID2,Title
SCAJ-20120,SCAJ_201.20,Digital Devil Saga - Avatar Tuner 2
SCAJ-20121,SCAJ_201.21,Armored Core - Formula Front
SCAJ-20122,SCAJ_201.22,Tian Xing - Swords of Destiny
SCAJ-20123,SCAJ_201.23,Wild ARMs - The 4th Detonator
SCAJ-20124,SCAJ_201.24,Romancing Saga - Minstrel Song
SCAJ-20125,SCAJ_201.25,Tekken 5 (Limited Edition)
SCAJ-20126,SCAJ_201.26,Tekken 5
SCAJ-20127,SCAJ_201.27,EyeToy - Play (With Camera)
SCAJ-20128,SCAJ_201.28,EyeToy: Play 2
SCAJ-20129,SCAJ_201.29,Poncotsu Roman Daikatsugeki - Bumpy Trot
SCAJ-20130,SCAJ_201.30,NAMCO X CAPCOM
SCAJ-20131,SCAJ_201.31,Namco Museum Arcade Hits!
SCAJ-20132,SCAJ_201.32,Drag-on-Dragoon 2 -Fuuin no Kurenai
SCAJ-20133,SCAJ_201.33,Kagero II - Dark Illusion
SCAJ-20134,SCAJ_201.34,GENJI
SCAJ-20135,SCAJ_201.35,Minna Daisuki Katamari Damacy
SCAJ-20136,SCAJ_201.36,Ace Combat 5 - The Unsung War [PlayStation2 The Best]
SCAJ-20137,SCAJ_201.37,Musashiden II - Blade Master
SCAJ-20138,SCAJ_201.38,Saru Get You 3
SCAJ-20139,SCAJ_201.39,Zero - Shisei no Koe (New Zero - Rei - Irezumi no Sei)
SCAJ-20140,SCAJ_201.40,BLEACH - ERABARESHI TAMASHII
SCAJ-20141,SCAJ_201.41,GRANDIA III [2 CDS]
SCAJ-20143,SCAJ_201.43,Armored Core - Last Raven
SCAJ-20144,SCAJ_201.44,Saru Get You 3
SCAJ-20145,SCAJ_201.45,TALES OF LEGENDIA
SCAJ-20146,SCAJ_201.46,Wang Da Yu Ju Xiang
SCAJ-20147,SCAJ_201.47,HEAVY METAL THUNDER
SCAJ-20148,SCAJ_201.48,Tokyo Bus Annai 2
